"","PatientRace","PatientGender","PatientLanguage","PrimaryDiagnosisDescription","Frequency"
"1","African American","Female","English","Abnormal findings on diagnostic imaging of heart and coronary circulation",292
"2","African American","Female","English","Acute erythroid leukemia, in relapse",464
"3","African American","Female","English","Acute lymphoblastic leukemia [ALL]",493
"4","African American","Female","English","Acute megakaryoblastic leukemia, in remission",405
"5","African American","Female","English","Acute monoblastic/monocytic leukemia, in remission",564
"6","African American","Female","English","Acute myeloid leukemia with multilineage dysplasia, in relapse",185
"7","African American","Female","English","Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",520
"8","African American","Female","English","Acute nephritic syndrome with dense deposit disease",168
"9","African American","Female","English","Acute promyelocytic leukemia",389
"10","African American","Female","English","Acute pulmonary coccidioidomycosis",149
"11","African American","Female","English","Acute pulmonary edema",182
"12","African American","Female","English","Acute pulmonary manifestations due to radiation",632
"13","African American","Female","English","Adhesive left middle ear disease",446
"14","African American","Female","English","Adjustment disorder with mixed anxiety and depressed mood",262
"15","African American","Female","English","Adult-onset Stills disease
A551133C-FC6E-4763-B9D9-DFEF808B3440	3	M05.171	Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot
A551133C-FC6E-4763-B9D9-DFEF808B3440	4	C49.22	Malignant neoplasm of connective and soft tissue of left lower limb, including hip
A551133C-FC6E-4763-B9D9-DFEF808B3440	5	F33.2	Major depressive disorder, recurrent severe without psychotic features
C463D89B-08CF-4E55-92DB-EF66C4C12AFA	1	E08.630	Diabetes mellitus due to underlying condition with periodontal disease
C463D89B-08CF-4E55-92DB-EF66C4C12AFA	2	Z15	Genetic susceptibility to disease
C463D89B-08CF-4E55-92DB-EF66C4C12AFA	3	P60	Disseminated intravascular coagulation of newborn
C463D89B-08CF-4E55-92DB-EF66C4C12AFA	4	D16.7	Benign neoplasm of ribs, sternum and clavicle
C463D89B-08CF-4E55-92DB-EF66C4C12AFA	5	B97	Viral agents as the cause of diseases classified elsewhere
0303E7FC-B564-475C-954E-328E2166F198	1	F10.14	Alcohol abuse with alcohol-induced mood disorder
AEBD4496-00CC-4AFA-A7FA-29D38833E264	1	O98.713	Human immunodeficiency virus [HIV] disease complicating pregnancy, third trimester
AEBD4496-00CC-4AFA-A7FA-29D38833E264	2	H93.3X	Disorders of acoustic nerve
AEBD4496-00CC-4AFA-A7FA-29D38833E264	3	D12.9	Benign neoplasm of anus and anal canal
CC1D9C97-E980-46F3-9BB8-6D2C9B28C8B2	1	Z13.88	Encounter for screening for disorder due to exposure to contaminants
CC1D9C97-E980-46F3-9BB8-6D2C9B28C8B2	2	M05.17	Rheumatoid lung disease with rheumatoid arthritis of ankle and foot
CC1D9C97-E980-46F3-9BB8-6D2C9B28C8B2	3	N01.6	Rapidly progressive nephritic syndrome with dense deposit disease
CC1D9C97-E980-46F3-9BB8-6D2C9B28C8B2	4	J84.842	Pulmonary interstitial glycogenosis
9E3C915E-B0AC-4F1E-818B-09BD0F4B1F57	1	M05.312	Rheumatoid heart disease with rheumatoid arthritis of left shoulder
9E3C915E-B0AC-4F1E-818B-09BD0F4B1F57	2	M63.89	Disorders of muscle in diseases classified elsewhere, multiple sites
9E3C915E-B0AC-4F1E-818B-09BD0F4B1F57	3	E88.0	Disorders of plasma-protein metabolism, not elsewhere classified
9E3C915E-B0AC-4F1E-818B-09BD0F4B1F57	4	E09.01	Drug or chemical induced diabetes mellitus with hyperosmolarity with coma
CAD65E06-F790-4787-BC7C-FF62E0AF9063	1	P54.4	Neonatal adrenal hemorrhage
CAD65E06-F790-4787-BC7C-FF62E0AF9063	2	C69.1	Malignant neoplasm of cornea
CAD65E06-F790-4787-BC7C-FF62E0AF9063	3	C91.12	Chronic lymphocytic leukemia of B-cell type in relapse
1CBBA912-3A30-4718-9674-7BD765940972	1	D30.11	Benign neoplasm of right renal pelvis
1CBBA912-3A30-4718-9674-7BD765940972	2	F44.7	Conversion disorder with mixed symptom presentation
1CBBA912-3A30-4718-9674-7BD765940972	3	M05.3	Rheumatoid heart disease with rheumatoid arthritis
40F30C62-147C-4982-B990-D71C21AF6946	1	M10.35	Gout due to renal impairment, hip
40F30C62-147C-4982-B990-D71C21AF6946	2	G90	Disorders of autonomic nervous system
801F57BD-7639-4E9D-92FD-B5DA5EEFF0A4	1	O24.111	Pre-existing diabetes mellitus, type 2, in pregnancy, first trimester
801F57BD-7639-4E9D-92FD-B5DA5EEFF0A4	2	J35	Chronic diseases of tonsils and adenoids
801F57BD-7639-4E9D-92FD-B5DA5EEFF0A4	3	C80.2	Malignant neoplasm associated with transplanted organ
801F57BD-7639-4E9D-92FD-B5DA5EEFF0A4	4	D16.21	Benign neoplasm of long bones of right lower limb
801F57BD-7639-4E9D-92FD-B5DA5EEFF0A4	5	C40.22	Malignant neoplasm of long bones of left lower limb
D66FEC9C-4965-408D-B669-BA701389E607	1	M06.011	Rheumatoid arthritis without rheumatoid factor, right shoulder
D66FEC9C-4965-408D-B669-BA701389E607	2	M05.752	Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement
D66FEC9C-4965-408D-B669-BA701389E607	3	T82.110	Breakdown (mechanical) of cardiac electrode
65B1DB1E-C250-4381-ACA4-9927B13A9B0F	1	E08.649	Diabetes mellitus due to underlying condition with hypoglycemia without coma
65B1DB1E-C250-4381-ACA4-9927B13A9B0F	2	F91.3	Oppositional defiant disorder
65B1DB1E-C250-4381-ACA4-9927B13A9B0F	3	F10.15	Alcohol abuse with alcohol-induced psychotic disorder
A244D9C4-1B1B-4846-BF1D-BAA9FC4F4C22	1	E83.5	Disorders of calcium metabolism
A244D9C4-1B1B-4846-BF1D-BAA9FC4F4C22	2	D20.1	Benign neoplasm of soft tissue of peritoneum
E79EE244-9E95-447A-A751-EC999918EB8C	1	C05.2	Malignant neoplasm of uvula
E79EE244-9E95-447A-A751-EC999918EB8C	2	Z12.12	Encounter for screening for malignant neoplasm of rectum
48124B80-BB05-40EF-8A99-74212CDACBCB	1	C74.11	Malignant neoplasm of medulla of right adrenal gland
48124B80-BB05-40EF-8A99-74212CDACBCB	2	Z45.0	Encounter for adjustment and management of cardiac device
B7472A9C-3873-4A29-87A4-4BD2DCAC3822	1	C11.2	Malignant neoplasm of lateral wall of nasopharynx
B7472A9C-3873-4A29-87A4-4BD2DCAC3822	2	N46.125	Oligospermia due to systemic disease
57E3F5BD-FA3C-40C8-B09B-568842E0DBD3	1	M05.311	Rheumatoid heart disease with rheumatoid arthritis of right shoulder
57E3F5BD-FA3C-40C8-B09B-568842E0DBD3	2	L94.5	Poikiloderma vasculare atrophicans
57E3F5BD-FA3C-40C8-B09B-568842E0DBD3	3	E74.02	Pompe disease
210A6861-D65F-41A2-AC41-D1D7AEADE8E5	1	M05.33	Rheumatoid heart disease with rheumatoid arthritis of wrist
210A6861-D65F-41A2-AC41-D1D7AEADE8E5	2	Y71.0	Diagnostic and monitoring cardiovascular devices associated with adverse incidents
210A6861-D65F-41A2-AC41-D1D7AEADE8E5	3	C79.71	Secondary malignant neoplasm of right adrenal gland
210A6861-D65F-41A2-AC41-D1D7AEADE8E5	4	J43.0	Unilateral pulmonary emphysema [MacLeods syndrome]",220
"16","African American","Female","English","Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission",776
"17","African American","Female","English","Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",400
"18","African American","Female","English","Adverse effect of phenothiazine antipsychotics and neuroleptics",166
"19","African American","Female","English","Alcohol abuse with alcohol-induced mood disorder",661
"20","African American","Female","English","Alpers disease",750
"21","African American","Female","English","Aluminum bone disease",383
"22","African American","Female","English","Alzheimers disease with early onset
7680F6C0-FA7C-4B12-B5FA-2079BE342F16	2	M24.242	Disorder of ligament, left hand
7680F6C0-FA7C-4B12-B5FA-2079BE342F16	3	I97.611	Postprocedural hemorrhage and hematoma of a circulatory system organ or structure following cardiac bypass
7680F6C0-FA7C-4B12-B5FA-2079BE342F16	4	M12.17	Kaschin-Beck disease, ankle and foot
9E9C3C60-9951-4B2F-B6D0-331222F0EA21	1	O26.61	Liver and biliary tract disorders in pregnancy
9E9C3C60-9951-4B2F-B6D0-331222F0EA21	2	D27.0	Benign neoplasm of right ovary
9E9C3C60-9951-4B2F-B6D0-331222F0EA21	3	F16.183	Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)
9E9C3C60-9951-4B2F-B6D0-331222F0EA21	4	C34.2	Malignant neoplasm of middle lobe, bronchus or lung
FE2E75D4-8068-4656-A232-A371DCCB5A04	1	M63.861	Disorders of muscle in diseases classified elsewhere, right lower leg
FE2E75D4-8068-4656-A232-A371DCCB5A04	2	M31.30	Wegeners granulomatosis without renal involvement",327
"23","African American","Female","English","Alzheimers disease with early onset
F3913138-48B7-46E3-9C15-7AD47474B1D0	4	M06.351	Rheumatoid nodule, right hip
A19974E2-AAFA-4ADB-A366-C0DAEB526ACE	1	E11	Type 2 diabetes mellitus
A19974E2-AAFA-4ADB-A366-C0DAEB526ACE	2	D17	Benign lipomatous neoplasm
A19974E2-AAFA-4ADB-A366-C0DAEB526ACE	3	M06.23	Rheumatoid bursitis, wrist
A19974E2-AAFA-4ADB-A366-C0DAEB526ACE	4	M63.87	Disorders of muscle in diseases classified elsewhere, ankle and foot
32F5ECF1-2050-48CB-91DA-4AA50F826D0F	1	C24.8	Malignant neoplasm of overlapping sites of biliary tract
32F5ECF1-2050-48CB-91DA-4AA50F826D0F	2	G71	Primary disorders of muscles
32F5ECF1-2050-48CB-91DA-4AA50F826D0F	3	D57.21	Sickle-cell/Hb-C disease with crisis
32F5ECF1-2050-48CB-91DA-4AA50F826D0F	4	C79.51	Secondary malignant neoplasm of bone
32F5ECF1-2050-48CB-91DA-4AA50F826D0F	5	Z13.4	Encounter for screening for certain developmental disorders in childhood
DAAB350E-D821-453A-88C6-51131138EDCE	1	K57.3	Diverticular disease of large intestine without perforation or abscess
DAAB350E-D821-453A-88C6-51131138EDCE	2	G23.0	Hallervorden-Spatz disease
DAAB350E-D821-453A-88C6-51131138EDCE	3	M06.29	Rheumatoid bursitis, multiple sites
0958CA9A-8E19-4837-BBFB-3F1AA6BE02BF	1	M10.351	Gout due to renal impairment, right hip
0958CA9A-8E19-4837-BBFB-3F1AA6BE02BF	2	I25.82	Chronic total occlusion of coronary artery
0958CA9A-8E19-4837-BBFB-3F1AA6BE02BF	3	N49.0	Inflammatory disorders of seminal vesicle
0958CA9A-8E19-4837-BBFB-3F1AA6BE02BF	4	B95.0	Streptococcus, group A, as the cause of diseases classified elsewhere
0958CA9A-8E19-4837-BBFB-3F1AA6BE02BF	5	C08.1	Malignant neoplasm of sublingual gland
D1DCF877-7725-42DE-B660-6545CF65CC8B	1	M90.51	Osteonecrosis in diseases classified elsewhere, shoulder
D1DCF877-7725-42DE-B660-6545CF65CC8B	2	M06.342	Rheumatoid nodule, left hand
D1DCF877-7725-42DE-B660-6545CF65CC8B	3	C34.81	Malignant neoplasm of overlapping sites of right bronchus and lung
D1DCF877-7725-42DE-B660-6545CF65CC8B	4	T74.3	Psychological abuse, confirmed
D1DCF877-7725-42DE-B660-6545CF65CC8B	5	F18.180	Inhalant abuse with inhalant-induced anxiety disorder
834D6739-2F9B-4BCF-8C4E-1747E8776682	1	E08.41	Diabetes mellitus due to underlying condition with diabetic mononeuropathy
834D6739-2F9B-4BCF-8C4E-1747E8776682	2	F12	Cannabis related disorders
834D6739-2F9B-4BCF-8C4E-1747E8776682	3	F64.1	Gender identity disorder in adolescence and adulthood
834D6739-2F9B-4BCF-8C4E-1747E8776682	4	E10.359	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
834D6739-2F9B-4BCF-8C4E-1747E8776682	5	E09.329	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
57C73171-2D83-4F22-831F-DB49CFE24D79	1	M1A.32	Chronic gout due to renal impairment, elbow
57C73171-2D83-4F22-831F-DB49CFE24D79	2	C57.1	Malignant neoplasm of broad ligament
57C73171-2D83-4F22-831F-DB49CFE24D79	3	G32.81	Cerebellar ataxia in diseases classified elsewhere
57C73171-2D83-4F22-831F-DB49CFE24D79	4	P70.2	Neonatal diabetes mellitus
57C73171-2D83-4F22-831F-DB49CFE24D79	5	P54.4	Neonatal adrenal hemorrhage
57C73171-2D83-4F22-831F-DB49CFE24D79	6	C94.30	Mast cell leukemia not having achieved remission
57C73171-2D83-4F22-831F-DB49CFE24D79	7	K11	Diseases of salivary glands
57C73171-2D83-4F22-831F-DB49CFE24D79	8	E11.52	Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
D2E67E2A-FA5C-437A-9B4C-408B66FC9D95	1	M01.X71	Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere
D2E67E2A-FA5C-437A-9B4C-408B66FC9D95	2	C93.02	Acute monoblastic/monocytic leukemia, in relapse
4ABCF782-41E6-44F7-BC72-68AF2D539973	1	E08.36	Diabetes mellitus due to underlying condition with diabetic cataract
4ABCF782-41E6-44F7-BC72-68AF2D539973	2	G31.01	Picks disease",501
"24","African American","Female","English","Amnestic disorder due to known physiological condition",344
"25","African American","Female","English","Anemia due to enzyme disorders",484
"26","African American","Female","English","Aneurysm of renal artery",469
"27","African American","Female","English","Anxiety disorder due to known physiological condition",556
"28","African American","Female","English","Arteriovenous fistula of pulmonary vessels",1025
"29","African American","Female","English","Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris",451
"30","African American","Female","English","Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris",344
"31","African American","Female","English","Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris",73
"32","African American","Female","English","Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm",500
"33","African American","Female","English","Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm",284
"34","African American","Female","English","Atherosclerotic heart disease of native coronary artery with unstable angina pectoris",138
"35","African American","Female","English","Autonomic neuropathy in diseases classified elsewhere",479
"36","African American","Female","English","Azoospermia due to systemic disease",97
"37","African American","Female","English","Benign lipomatous neoplasm",508
"38","African American","Female","English","Benign lipomatous neoplasm of intra-abdominal organs",266
"39","African American","Female","English","Benign lipomatous neoplasm of skin and subcutaneous tissue of left leg",473
"40","African American","Female","English","Benign neoplasm of appendix",223
"41","African American","Female","English","Benign neoplasm of bladder",314
"42","African American","Female","English","Benign neoplasm of brain, infratentorial",385
